Hub	BAM	BED	BigBed	BigWig	CRAM	VCFTabix	
SRP044746	0	0	0	0	24	0	
ERP009927	0	0	0	0	16	0	
SRP019809	0	0	0	0	16	0	
SRP043645	0	0	0	0	28	0	
ERP001600	0	0	0	0	21	0	
ERP008765	0	0	0	0	1	0	
SRP043445	0	0	0	0	1	0	
SRP062901	0	0	0	0	4	0	
SRP054168	0	0	0	0	2	0	
ERP008789	0	0	0	0	1	0	
SRP048912	0	0	0	0	56	0	
SRP043538	0	0	0	0	9	0	
SRP035269	0	0	0	0	27	0	
SRP013489	0	0	0	0	4	0	
SRP059637	0	0	0	0	4	0	
puroTIS	0	0	3	4	0	0	
SRP006773	0	0	0	0	2	0	
SRP045825	0	0	0	0	12	0	
SRP059946	0	0	0	0	4	0	
SRP001315	0	0	0	0	17	0	
DRP000447	0	0	0	0	1	0	
SRP058426	0	0	0	0	4	0	
SRP034631	0	0	0	0	2	0	
SRP029364	0	0	0	0	23	0	
SRP033028	0	0	0	0	2	0	
SRP009678	0	0	0	0	6	0	
SRP022220	0	0	0	0	761	0	
SRP050224	0	0	0	0	12	0	
SRP043607	0	0	0	0	11	0	
ERP008787	0	0	0	0	1	0	
SRP009063	0	0	0	0	4	0	
SRP044123	0	0	0	0	11	0	
DRP000568	0	0	0	0	3	0	
SRP056412	0	0	0	0	84	0	
SRP015130	0	0	0	0	3	0	
SRP035234	0	0	0	0	4	0	
SRP018842	0	0	0	0	3	0	
SRP045418	0	0	0	0	7	0	
SRP056128	0	0	0	0	3	0	
SRP065614	0	0	0	0	1	0	
SRP061705	0	0	0	0	9	0	
SRP016591	0	0	0	0	6	0	
SRP042088	0	0	0	0	6	0	
SRP026336	0	0	0	0	8	0	
SRP018396	0	0	0	0	18	0	
SRP010938	0	0	0	0	18	0	
SRP043425	0	0	0	0	2	0	
SRP014318	0	0	0	0	3	0	
SRP063555	0	0	0	0	4	0	
SRP013631	0	0	0	0	4	0	
SRP035589	0	0	0	0	8	0	
SRP031460	0	0	0	0	2	0	
ERP008815	0	0	0	0	1	0	
ERP008793	0	0	0	0	1	0	
ERP010645	0	0	0	0	8	0	
SRP013432	0	0	0	0	12	0	
SRP029893	0	0	0	0	1	0	
SRP016025	0	0	0	0	12	0	
SRP057281	0	0	0	0	5	0	
SRP035213	0	0	0	0	6	0	
SRP049040	0	0	0	0	18	0	
SRP009884	0	0	0	0	2	0	
SRP017530	0	0	0	0	7	0	
ERP009722	0	0	0	0	16	0	
SRP046938	0	0	0	0	3	0	
SRP010139	0	0	0	0	2	0	
SRP051089	0	0	0	0	4	0	
